KakaoTalk Chats with 김남윤 pal 수영
Date Saved : 1:07PM, January 21, 2014


10:30PM, November 22, 2013
10:30PM, November 22, 2013, you : wanna hang 
10:50PM, November 22, 2013, 김남윤 pal 수영 : Now?
10:50PM, November 22, 2013, 김남윤 pal 수영 : I was thinking about going to lotfe mart
10:50PM, November 22, 2013, you : around 12
10:50PM, November 22, 2013, you : 건대 가자 ㅋㅋ
10:50PM, November 22, 2013, 김남윤 pal 수영 : Why?
10:50PM, November 22, 2013, you : 좀 술 땡겨
10:50PM, November 22, 2013, 김남윤 pal 수영 : 12시는너무늦는다
10:50PM, November 22, 2013, you : 애이 내일 주말인디
10:52PM, November 22, 2013, 김남윤 pal 수영 : 내일 아침에 회의가야해
10:52PM, November 22, 2013, 김남윤 pal 수영 : 너무 늦는다
10:52PM, November 22, 2013, 김남윤 pal 수영 : 지금 롯데마트가는길에 간단히 먹어도 되는데
10:52PM, November 22, 2013, 김남윤 pal 수영 : 건대는 무리
10:55PM, November 22, 2013, you : 그럼 다음에보자
10:55PM, November 22, 2013, you : 나 지금 12시까지 과제
10:55PM, November 22, 2013, you : 근데 ㅇ  술 먹고 싶어서

4:57PM, November 23, 2013
4:57PM, November 23, 2013, you : 이따 저녁 먹을래?
7:30PM, November 23, 2013, 김남윤 pal 수영 : ㅋㅋㅋㅋㅋㅋ
7:30PM, November 23, 2013, 김남윤 pal 수영 : 지금일끝남
7:31PM, November 23, 2013, 김남윤 pal 수영 : 밥먹었어?
7:46PM, November 23, 2013, you : 먹자
7:46PM, November 23, 2013, you : 어디야
7:48PM, November 23, 2013, 김남윤 pal 수영 : 난 밥 안먹고
7:48PM, November 23, 2013, 김남윤 pal 수영 : 간단한 맥주는 먹을게ㅋㅋ
7:48PM, November 23, 2013, 김남윤 pal 수영 : 밥먹었어
7:48PM, November 23, 2013, you : 음
7:49PM, November 23, 2013, you : 안 배고파??
7:50PM, November 23, 2013, 김남윤 pal 수영 : ㅇㅇㅇ배는불러ㅜ
7:56PM, November 23, 2013, 김남윤 pal 수영 : 안주먹어ㅋㅋ난맥주
7:57PM, November 23, 2013, 김남윤 pal 수영 : 강변역에 곧 도착해
7:57PM, November 23, 2013, 김남윤 pal 수영 : 빨리말해
7:57PM, November 23, 2013, you : 몇시 도착
7:57PM, November 23, 2013, you : 하자 그러
7:58PM, November 23, 2013, you : 치맥 하자
8:00PM, November 23, 2013, 김남윤 pal 수영 : 지금 한양대역
8:01PM, November 23, 2013, you : 역 도착하면 알려ㅁ줘
8:02PM, November 23, 2013, 김남윤 pal 수영 : ㅇㅇㅋㅋㅋ
8:12PM, November 23, 2013, 김남윤 pal 수영 : 지금구의역이야
8:12PM, November 23, 2013, 김남윤 pal 수영 : 강변어디서봐?
8:12PM, November 23, 2013, you : 음 mister donut 옆
8:15PM, November 23, 2013, 김남윤 pal 수영 : 어디쪽에있는거야?
8:15PM, November 23, 2013, 김남윤 pal 수영 : 던킨말고?
8:15PM, November 23, 2013, you : 가는중
8:16PM, November 23, 2013, 김남윤 pal 수영 : 아니 미스터도넛이 어디에 있는거내고
8:16PM, November 23, 2013, you : 역안내 미스터 도너츠에 볼러고했는데
8:16PM, November 23, 2013, you : 역
8:16PM, November 23, 2013, you : 그아래 지하 말고
8:16PM, November 23, 2013, 김남윤 pal 수영 : 아 찾았다 ㅇㅋㅇㅋ
8:17PM, November 23, 2013, you : Good(Emoticon)

4:35PM, November 30, 2013
4:35PM, November 30, 2013, you : 저녁가능?
4:51PM, November 30, 2013, 김남윤 pal 수영 : 전화했어?
5:08PM, November 30, 2013, you : ㅇ 저녁 가능?
5:11PM, November 30, 2013, 김남윤 pal 수영 : ㅇㅇ아맏ㅎ
5:11PM, November 30, 2013, 김남윤 pal 수영 : 그런데지금자려는데
5:28PM, November 30, 2013, you : 뭐?
5:28PM, November 30, 2013, you : 그럼 몇시....?
6:26PM, November 30, 2013, you : .
6:48PM, November 30, 2013, 김남윤 pal 수영 : 자고지금일어났다
6:48PM, November 30, 2013, you : 밥 먹을래?
6:48PM, November 30, 2013, 김남윤 pal 수영 : 감가걸려서오늘함들듯
6:51PM, November 30, 2013, you : ??
6:54PM, November 30, 2013, you : 그럼 안됀다고?
7:00PM, November 30, 2013, you : ... 형 이거 답장빨리해줘
7:00PM, November 30, 2013, you : 기달리고있잖아
7:00PM, November 30, 2013, you : 안돼면 내가 걍 혼자 먹게
8:16PM, November 30, 2013, 김남윤 pal 수영 : 미안해
8:16PM, November 30, 2013, 김남윤 pal 수영 : 잠들었어ㅠㅠ
8:16PM, November 30, 2013, 김남윤 pal 수영 : 너무피곤해서
8:16PM, November 30, 2013, 김남윤 pal 수영 : 술먹을래?
8:54PM, November 30, 2013, you : ㄴㄴ 다음에
8:56PM, November 30, 2013, 김남윤 pal 수영 : ㅇㅇ우

6:29PM, December 6, 2013
6:29PM, December 6, 2013, 김남윤 pal 수영 : 밥먹을레?
6:29PM, December 6, 2013, 김남윤 pal 수영 : 영화아
7:21PM, December 6, 2013, you : 이미 약속 ㅠ

5:24PM, December 20, 2013
5:24PM, December 20, 2013, you : 저녁 같이 먹을래?
5:40PM, December 20, 2013, 김남윤 pal 수영 : 뭐먹을래?
5:41PM, December 20, 2013, you : mr pizza 먹을래?
5:42PM, December 20, 2013, 김남윤 pal 수영 : 상품권있어?
5:47PM, December 20, 2013, you : ㄴㄴㅋㅋ
5:47PM, December 20, 2013, you : 걍생각함
5:47PM, December 20, 2013, you : 그근처에 먹을거좀 있어
5:47PM, December 20, 2013, you : 강변엳에서 조금 나가면
5:47PM, December 20, 2013, you : 우리가 저번에 포장마차에 반대방향
5:48PM, December 20, 2013, 김남윤 pal 수영 : 미스터피자싫어하는데ㅠ
5:51PM, December 20, 2013, you : ㅋㅋㅋㅋ
5:52PM, December 20, 2013, you : 음 outback? 
5:52PM, December 20, 2013, you : 아니면 이따 거기서 같ㅇㄴ 치맥헐수있고
5:52PM, December 20, 2013, you : 거기 frypam 있어
5:54PM, December 20, 2013, 김남윤 pal 수영 : 아 그쪽에~
5:54PM, December 20, 2013, 김남윤 pal 수영 : ㅇㅇ그쪽으로가서식당고르자
5:54PM, December 20, 2013, you : ㅇㅇ 어디말하는지알고있지
5:55PM, December 20, 2013, you : outbqck 있고 ㅇㅇ
5:59PM, December 20, 2013, 김남윤 pal 수영 : ㅇㅇㅇ
5:59PM, December 20, 2013, 김남윤 pal 수영 : 7일곱시?
5:59PM, December 20, 2013, you : 몇시 돈
5:59PM, December 20, 2013, you : 7시??
6:00PM, December 20, 2013, 김남윤 pal 수영 : ㅇㅇ너무늦어?
6:00PM, December 20, 2013, 김남윤 pal 수영 : 지금하고있는게있어서
6:00PM, December 20, 2013, you : 아니야 그때 좋아
6:00PM, December 20, 2013, you : 그럼 완전 저녁?
6:02PM, December 20, 2013, 김남윤 pal 수영 : ㅇㅇ밥먹는거지?
